Prediction Confidence   Predicton       Target
0.16009782254695892     0               0
0.2665264904499054      0               0
0.22209857404232025     0               0
0.4433223605155945      0               0
0.6121863722801208      1               1
0.7650488018989563      1               0
0.45815274119377136     0               0
0.43032386898994446     0               0
0.32672226428985596     0               0
0.6369325518608093      1               0
0.6447669863700867      1               0
0.5688810348510742      1               0
0.4285332262516022      0               0
0.6033341884613037      1               1
0.22344191372394562     0               0
0.2403324991464615      0               0
0.8708226084709167      1               1
0.9699678421020508      1               1
0.6072253584861755      1               1
0.5188435912132263      1               0
0.31152254343032837     0               0
0.23932157456874847     0               0
0.4592187702655792      0               0
0.28973788022994995     0               0
0.4091244041919708      0               0
0.24481792747974396     0               0
0.12555068731307983     0               0
0.36023417115211487     0               0
0.272796630859375       0               0
0.49264782667160034     0               0
0.4155779182910919      0               0
0.7378033995628357      1               1
0.47727108001708984     0               0
0.7523844242095947      1               0
0.7482686638832092      1               0
0.7099345326423645      1               0
0.20071345567703247     0               0
0.6219636797904968      1               0
0.3916948735713959      0               0
0.3677113652229309      0               0
0.688754677772522       1               1
0.4162445366382599      0               0
0.30180513858795166     0               0
0.41267991065979004     0               0
0.8373693823814392      1               0
0.35511380434036255     0               0
0.3053259551525116      0               0
0.4718419015407562      0               0
0.23870180547237396     0               0
0.18823838233947754     0               0
0.24066723883152008     0               0
0.4524449408054352      0               0
0.2976153790950775      0               0
0.5198753476142883      1               1
0.3989918828010559      0               0
0.2585149109363556      0               0
0.6557162404060364      1               1
0.44786593317985535     0               0
0.6589853167533875      1               0
0.5273818373680115      1               0
0.3320649266242981      0               0
0.49488741159439087     0               0
0.6556740999221802      1               1
0.5573220252990723      1               0
0.4715404212474823      0               1
0.5732291340827942      1               0
0.34271788597106934     0               0
0.43547794222831726     0               0
0.6909773349761963      1               1
0.44382423162460327     0               0
0.4580826461315155      0               0
0.1430269330739975      0               0
0.5582172274589539      1               0
0.7338039875030518      1               1
0.24661646783351898     0               0
0.46639275550842285     0               0
0.6582063436508179      1               0
0.3377703130245209      0               0
0.4031808376312256      0               0
0.43125465512275696     0               0
0.42784246802330017     0               0
0.476046085357666       0               0
0.359523206949234       0               0
0.6649010181427002      1               1
0.2600511610507965      0               0
0.17848528921604156     0               0
0.3189820349216461      0               0
0.2497178465127945      0               0
0.27870723605155945     0               0
0.14552514255046844     0               0
0.30474919080734253     0               0
0.30308324098587036     0               0
0.32995474338531494     0               0
0.4316765367984772      0               0
0.5223092436790466      1               0
0.23199985921382904     0               0
0.5200069546699524      1               0
0.5986102223396301      1               1
0.47472769021987915     0               0
0.5177497863769531      1               1
0.5050839781761169      1               0
0.7433611154556274      1               1
0.2724332809448242      0               0
0.6044669151306152      1               0
0.24715349078178406     0               0
0.66001296043396        1               0
0.44576987624168396     0               0
0.3412178158760071      0               0
0.20469844341278076     0               0
0.5115388631820679      1               0
0.46176186203956604     0               1
0.3384140729904175      0               0
0.4868747293949127      0               0
0.14065973460674286     0               0
0.5512062907218933      1               1
0.6291841864585876      1               0
0.14077872037887573     0               0
0.4476986229419708      0               1
0.166774719953537       0               0
0.6264768242835999      1               0
0.13751552999019623     0               0
0.7278395295143127      1               1
0.3410525619983673      0               0
0.3821554183959961      0               0
0.44608861207962036     0               0
0.34622740745544434     0               0
0.14992724359035492     0               0
0.3957741856575012      0               0
0.29448094964027405     0               0
0.7619581818580627      1               1
0.551618754863739       1               0
0.6907925009727478      1               1
0.18027985095977783     0               0
0.2340267449617386      0               0
0.35905611515045166     0               1
0.24121268093585968     0               0
0.21657902002334595     0               1
0.3545176088809967      0               0
0.595665454864502       1               0
0.44855010509490967     0               0
0.24357901513576508     0               0
0.5913318395614624      1               0
0.9603536128997803      1               1
0.056584857404232025    0               0
0.5759862065315247      1               0
0.42887136340141296     0               0
0.26461318135261536     0               0
0.2957030236721039      0               0
0.3267444968223572      0               0
0.3870154619216919      0               0
0.20660969614982605     0               0
0.1832735687494278      0               0
0.21878264844417572     0               0
0.19081009924411774     0               0
0.7301328182220459      1               1
0.20861853659152985     0               0
0.46936964988708496     0               0
0.6340947151184082      1               0
0.7846053242683411      1               1
0.49220943450927734     0               0
0.20486749708652496     0               0
0.19579347968101501     0               0
0.5617222785949707      1               1
0.19288860261440277     0               0
0.35854268074035645     0               0
0.18998195230960846     0               0
0.15067456662654877     0               0
0.3093374967575073      0               0
0.7104127407073975      1               1
0.4720645546913147      0               0
0.28541505336761475     0               0
0.6463769674301147      1               0
0.15370316803455353     0               0
0.23892121016979218     0               0
0.25666433572769165     0               0
0.23327042162418365     0               0
0.5778858065605164      1               1
0.48702436685562134     0               0
0.1275479942560196      0               0
0.3323948085308075      0               0
0.31562569737434387     0               0
0.18499647080898285     0               0
0.40267786383628845     0               0
0.5514234900474548      1               0
0.31915557384490967     0               0
0.22170212864875793     0               0
0.34694990515708923     0               0
0.6217197775840759      1               0
0.4420008063316345      0               0
0.16358748078346252     0               0
0.2869335412979126      0               0
0.22441957890987396     0               0
0.7101019620895386      1               1
0.24188989400863647     0               0
0.329362154006958       0               0
0.15760113298892975     0               0
0.2382330745458603      0               0
0.1987972855567932      0               0
0.685826301574707       1               0
0.7820473909378052      1               1
0.4641273021697998      0               0
0.4895976185798645      0               0
0.39571958780288696     0               0
0.6359658241271973      1               0
0.3472822904586792      0               0
0.45003753900527954     0               0
0.433429479598999       0               0
0.6003288626670837      1               1
0.48175227642059326     0               0
0.3866693675518036      0               0
0.342228502035141       0               0
0.6900280714035034      1               1
0.34441912174224854     0               0
0.4477461278438568      0               0
0.46907946467399597     0               1
0.410812646150589       0               0
0.1970951408147812      0               0
0.2383347749710083      0               0
0.21605509519577026     0               0
0.5174980163574219      1               0
0.26006048917770386     0               0
0.2451823502779007      0               0
0.21279749274253845     0               0
0.3822765350341797      0               0
0.6760836243629456      1               1
0.6967630386352539      1               0
0.4399506747722626      0               0
0.09675028175115585     0               0
0.41622528433799744     0               0
0.0980578139424324      0               0
0.44651976227760315     0               0
0.27785125374794006     0               0
0.4602472484111786      0               0
0.22524502873420715     0               0
0.7895510196685791      1               1
0.41306328773498535     0               0
0.4714052975177765      0               0
0.5477576851844788      1               0
0.5554097890853882      1               0
0.1105663850903511      0               0
0.5058049559593201      1               0
0.37174028158187866     0               0
0.6640166640281677      1               1
0.4458361268043518      0               0
0.15453387796878815     0               0
0.2770654857158661      0               0
0.14915789663791656     0               0
0.419199138879776       0               0
0.3886849582195282      0               0
0.39079469442367554     0               0
0.22923512756824493     0               0
0.7232193350791931      1               0
0.5096091032028198      1               0
0.448898047208786       0               0
0.25848403573036194     0               0
0.26081040501594543     0               0
0.1050802618265152      0               0
0.603769838809967       1               0
0.39297235012054443     0               0
0.35316720604896545     0               0
0.5486501455307007      1               0
0.6406617164611816      1               1
0.29004591703414917     0               0
0.5459375381469727      1               1
0.20694106817245483     0               0
0.44853052496910095     0               0
0.3492097556591034      0               0
0.3877534568309784      0               0
0.5753886103630066      1               0
0.6780933737754822      1               1
0.3154444098472595      0               0
0.6575639843940735      1               1
0.15591780841350555     0               0
0.40965792536735535     0               0
0.15556706488132477     0               0
0.26915469765663147     0               0
0.48431500792503357     0               1
0.5533257722854614      1               0
0.22861184179782867     0               1
0.29783013463020325     0               0
0.4751473069190979      0               1
0.23129551112651825     0               0
0.3467913568019867      0               1
0.36528539657592773     0               0
0.34120485186576843     0               0
0.3917105197906494      0               0
0.3395199775695801      0               0
0.7912374138832092      1               0
0.12706123292446136     0               0
0.4766046702861786      0               0
0.7620318531990051      1               1
0.5817893147468567      1               0
0.526930034160614       1               0
0.6366083025932312      1               0
0.30556797981262207     0               0
0.302791029214859       0               0
0.2937578856945038      0               0
0.5604521036148071      1               0
0.3121398389339447      0               0
0.43653833866119385     0               0
0.48001840710639954     0               0
0.7638323307037354      1               0
0.49279725551605225     0               0
0.24079233407974243     0               0
0.23161819577217102     0               0
0.20935727655887604     0               0
0.22088712453842163     0               0
0.3264775276184082      0               0
0.22811011970043182     0               0
0.48987090587615967     0               1
0.33140456676483154     0               0
0.5851783156394958      1               1
0.46019452810287476     0               0
0.48869985342025757     0               1
0.30796948075294495     0               0
0.5580037832260132      1               1
0.4568885862827301      0               0
0.2970562279224396      0               0
0.39461272954940796     0               0
0.4522241950035095      0               0
0.6531465649604797      1               1
0.4992930293083191      0               0
0.4732411205768585      0               1
0.42494767904281616     0               0
0.4116426110267639      0               0
0.3413483202457428      0               0
0.32114818692207336     0               0
0.49760928750038147     0               0
0.46731433272361755     0               0
0.5962297320365906      1               0
0.38598963618278503     0               0
0.6733742356300354      1               1
0.31882917881011963     0               0
0.5537636876106262      1               0
0.5401831269264221      1               0
0.7017620801925659      1               0
0.40943366289138794     0               0
0.4008925259113312      0               0
0.38626202940940857     0               0
0.2871336340904236      0               0
0.5090072751045227      1               0
0.5067751407623291      1               1
0.5823928117752075      1               0
0.24503839015960693     0               0
0.43581512570381165     0               0
0.3666186034679413      0               0
0.8145027160644531      1               1
0.4900161623954773      0               0
0.528110146522522       1               1
0.3757709860801697      0               0

Total: 350
True Positive: 45
True Negative: 235
False Positive: 57
False Negative: 13
Accuracy: 0.8
