$ python process_train_nov25_newtrain_conf.py 
train_data_size, train_data_true_count, train_data_false_count:
1645 813 832
val_data_size, val_data_true_count, val_data_false_count:
470 243 227
test_data_size, test_data_true_count, test_data_false_count:
235 109 126
epoch: 1760, train acc: 0.6826747720364742, val acc: 0.5936170212765958
epoch: 1780, train acc: 0.6565349544072948, val acc: 0.6085106382978723
epoch: 1800, train acc: 0.676595744680851, val acc: 0.5957446808510638
epoch: 1820, train acc: 0.6735562310030395, val acc: 0.6
epoch: 1840, train acc: 0.6869300911854104, val acc: 0.5872340425531914
epoch: 1860, train acc: 0.6729483282674772, val acc: 0.5914893617021276
epoch: 1880, train acc: 0.6522796352583586, val acc: 0.5893617021276596
epoch: 1900, train acc: 0.6717325227963525, val acc: 0.6106382978723405
epoch: 1920, train acc: 0.6577507598784195, val acc: 0.5829787234042553
epoch: 1940, train acc: 0.678419452887538, val acc: 0.5808510638297872
epoch: 1960, train acc: 0.6802431610942249, val acc: 0.6063829787234043
epoch: 1980, train acc: 0.6826747720364742, val acc: 0.6085106382978723
epoch: 2000, train acc: 0.6638297872340425, val acc: 0.6085106382978723
epoch: 2020, train acc: 0.6832826747720365, val acc: 0.5872340425531914
epoch: 2040, train acc: 0.6650455927051672, val acc: 0.5936170212765958
epoch: 2060, train acc: 0.6547112462006079, val acc: 0.6042553191489362
epoch: 2080, train acc: 0.6644376899696048, val acc: 0.6127659574468085
epoch: 2100, train acc: 0.6674772036474164, val acc: 0.5914893617021276
epoch: 2120, train acc: 0.686322188449848, val acc: 0.6106382978723405
epoch: 2140, train acc: 0.6656534954407295, val acc: 0.6106382978723405
epoch: 2160, train acc: 0.6747720364741642, val acc: 0.6127659574468085
epoch: 2180, train acc: 0.6668693009118541, val acc: 0.6
epoch: 2200, train acc: 0.6729483282674772, val acc: 0.6106382978723405
epoch: 2220, train acc: 0.6613981762917933, val acc: 0.6212765957446809
epoch: 2240, train acc: 0.6632218844984803, val acc: 0.6319148936170212
